ervaring,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
1.0,104.6,379.9,0,0,1
1.0,104.7,379.9,0,0,1
1.0,104.3,379.9,0,0,1
1.0,104.0,379.9,0,0,1
1.0,104.1,379.9,0,0,1
1.0,107.1,390.2,0,0,1
1.0,105.5,390.2,0,0,1
1.0,104.6,390.2,0,0,1
1.0,103.8,390.2,0,0,1
1.0,102.7,390.2,0,0,1
1.0,105.4,382.2,0,0,1
1.0,105.1,382.2,0,0,1
1.0,104.9,382.2,0,0,1
1.0,104.5,382.2,0,0,1
1.0,104.1,382.2,0,0,1
1.0,106.2,392.0,0,0,1
1.0,107.8,392.0,0,0,1
1.0,109.0,392.0,0,0,1
1.0,109.9,392.0,0,0,1
1.0,109.1,392.0,0,0,1
1.0,120.0,382.2,1,0,1
1.0,121.2,382.2,1,0,1
1.0,121.0,382.2,1,0,1
1.0,118.6,392.0,1,0,1
1.0,119.9,392.0,1,0,1
1.0,121.1,392.0,1,0,1
1.0,118.2,382.2,10,0,1
1.0,119.5,382.2,10,0,1
1.0,119.7,382.2,10,0,1
1.0,119.0,392.0,10,0,1
1.0,121.3,392.0,10,0,1
1.0,121.7,392.0,10,0,1
1.0,115.5,379.9,10,0,1
1.0,117.0,379.9,10,0,1
1.0,117.5,379.9,10,0,1
1.0,120.9,390.2,10,0,1
1.0,120.9,390.2,10,0,1
1.0,120.9,390.2,10,0,1
1.0,117.9,382.2,10,0,1
1.0,118.2,382.2,10,0,1
1.0,118.6,382.2,10,0,1
1.0,117.7,392.0,10,0,1
1.0,117.6,392.0,10,0,1
1.0,117.7,392.0,10,0,1
1.0,100.7,381.6,11,0,1
1.0,102.3,381.6,11,0,1
1.0,103.6,381.6,11,0,1
1.0,106.7,390.4,11,0,1
1.0,107.7,390.4,11,0,1
1.0,106.2,390.4,11,0,1
1.0,104.0,394.1,11,0,1
1.0,106.2,394.1,11,0,1
1.0,105.5,394.1,11,0,1
1.0,100.3,371.8,11,0,1
1.0,100.0,371.8,11,0,1
1.0,98.9,371.8,11,0,1
1.0,101.8,389.4,11,0,1
1.0,104.9,389.4,11,0,1
1.0,106.3,389.4,11,0,1
1.0,116.5,390.4,10,0,1
1.0,123.3,390.4,10,0,1
1.0,119.3,390.4,10,0,1
1.0,110.1,371.8,10,0,1
1.0,114.3,371.8,10,0,1
1.0,114.4,371.8,10,0,1
1.0,104.7,381.6,100,0,1
1.0,106.9,390.4,100,0,1
1.0,106.8,394.1,100,0,1
1.0,102.1,371.8,100,0,1
1.0,105.3,390.4,11,0,1
1.0,104.9,390.4,11,0,1
1.0,104.7,390.4,11,0,1
1.0,104.0,394.1,11,0,1
1.0,105.0,394.1,11,0,1
1.0,105.0,394.1,11,0,1
1.0,101.4,371.8,11,0,1
1.0,100.6,371.8,11,0,1
1.0,99.7,371.8,11,0,1
1.0,100.8,381.6,11,0,1
1.0,103.5,381.6,11,0,1
1.0,103.8,381.6,11,0,1
1.0,103.7,390.4,11,0,1
1.0,107.3,390.4,11,0,1
1.0,108.3,390.4,11,0,1
1.0,104.1,394.1,11,0,1
1.0,105.0,394.1,11,0,1
1.0,106.0,394.1,11,0,1
1.0,100.0,371.8,11,0,1
1.0,101.3,371.8,11,0,1
