ervaring,trainingtype,500_split,2k tijd,binary_trainingtype,binary_geslacht,binary_gewichtsklasse
0,3x7',116.0,415.6,11110,0,0
0,57',130.3,421.9,11101,0,0
0,3x7',114.0,415.6,11110,0,0
0,3x2000m,115.0,420.5,11,0,0
0,3x2000m,110.7,411.4,11,0,0
0,3x2000m,103.8,402.7,11,0,0
0,3x10',118.3,439.7,10000,0,0
0,3x10',118.8,431.6,10000,0,0
0,3x8',118.9,428.3,11111,0,0
0,1000m,106.0,413.7,10001,0,0
0,1',99.2,416.9,1001,0,0
0,2000m,104.9,421.9,1010,0,0
0,3x2000m,109.2,411.4,11,0,0
0,1',103.9,419.3,1001,0,0
0,3x7',117.2,427.7,11110,0,0
0,3x7',123.2,428.3,11110,0,0
0,3x2000m,121.8,420.5,11,0,0
0,3x2000m,116.8,420.3,11,0,0
0,1',99.1,418.6,1001,0,0
0,3x2000m,116.5,419.0,11,0,0
0,5x5',115.0,428.3,0,0,0
0,3x10',116.8,432.4,10000,0,0
0,2x2000m,106.6,412.5,1100,0,0
0,3x10',116.2,419.3,10000,0,0
0,1500m+500m,106.8,421.9,10010,0,0
0,3x10',115.6,431.6,10000,0,0
0,3x8',118.3,428.3,11111,0,0
0,1',101.2,419.3,1001,0,0
0,3x2000m,119.4,421.9,11,0,0
0,3x10',119.0,431.6,10000,0,0
0,5x5',115.1,428.3,0,0,0
0,1',99.5,412.5,1001,0,0
0,3x20',132.0,433.8,10,0,0
0,3x8',119.2,415.6,11111,0,0
0,3x10',115.9,419.3,10000,0,0
0,3x2000m,115.7,420.5,11,0,0
0,3x8',116.7,420.5,11111,0,0
0,3x7',121.0,428.3,11110,0,0
0,1',99.0,418.6,1001,0,0
0,3x2000m,126.3,449.0,11,0,0
0,3x8',113.6,415.6,11111,0,0
0,3x7',118.8,428.3,11110,0,0
0,3x7',123.2,449.0,11110,0,0
0,3x10',117.5,419.3,10000,0,0
0,1000m+500m,103.2,415.6,10110,0,0
0,3x7',117.4,428.3,11110,0,0
0,3x8',124.9,420.5,11111,0,0
0,3x2000m,127.9,449.0,11,0,0
0,3x10',116.7,418.6,10000,0,0
0,3x2000m,115.6,421.9,11,0,0
0,3x2000m,114.0,420.5,11,0,0
0,3x7',117.6,428.3,11110,0,0
0,3x2000m,123.5,421.9,11,0,0
0,3x2000m,111.4,420.5,11,0,0
0,3x10',114.9,419.3,10000,0,0
0,100m,89.5,415.0,11011,0,0
0,1',103.0,412.5,1001,0,0
0,3x2000m,113.1,420.3,11,0,0
0,3x10',119.6,439.7,10000,0,0
0,3x10',117.8,418.6,10000,0,0
0,3x7',112.2,405.5,11110,0,0
0,3x8',116.8,415.6,11111,0,0
0,3x2000m,110.6,421.9,11,0,0
0,3x10',115.0,419.3,10000,0,0
0,1500m+500m,106.3,420.8,10010,0,0
0,3x7',115.7,428.3,11110,0,0
0,3x2000m,113.8,405.5,11,0,0
0,3x2000m,116.8,420.5,11,0,0
0,1500m+500m,101.3,421.9,10010,0,0
0,1',104.6,419.3,1001,0,0
0,3x10',119.1,412.5,10000,0,0
0,1',98.3,418.6,1001,0,0
0,1',107.0,433.8,1001,0,0
0,5x5',116.4,427.7,0,0,0
0,3x2000m,113.3,421.9,11,0,0
0,3x8',118.9,420.5,11111,0,0
0,3x2000m,117.8,421.9,11,0,0
0,3x10',100.4,412.5,10000,0,0
0,3x10',120.3,420.8,10000,0,0
0,3x2000m,115.8,421.9,11,0,0
0,1500m+500m,104.7,420.5,10010,0,0
0,3x8',118.2,427.7,11111,0,0
0,3x2000m,122.9,427.7,11,0,0
0,3x10',118.9,420.8,10000,0,0
0,3x10',120.3,418.6,10000,0,0
0,2x2000m,115.7,418.6,1100,0,0
0,3x7',114.6,415.6,11110,0,0
0,3x20',127.0,415.0,10,0,0
0,1',104.9,429.2,1001,0,0
0,1500m+500m,109.0,439.7,10010,0,0
0,3x2000m,113.1,421.9,11,0,0
0,57',126.5,402.7,11101,0,0
0,2x2000m,110.8,418.6,1100,0,0
0,1500m+500m,95.0,402.7,10010,0,0
0,3x2000m,115.7,420.3,11,0,0
0,3x7',114.0,415.6,11110,0,0
0,3x7',121.7,449.0,11110,0,0
0,3x2000m,117.8,421.9,11,0,0
0,1',101.0,415.0,1001,0,0
0,2x10',130.1,412.5,101100,0,0
0,3x10',117.3,418.6,10000,0,0
0,1',106.5,432.4,1001,0,0
0,3x2000m,119.4,421.9,11,0,0
0,100m,89.5,413.7,11011,0,0
0,3x7',120.0,427.7,11110,0,0
0,3x10',120.7,432.4,10000,0,0
0,3x2000m,112.8,419.0,11,0,0
0,3x7',122.4,449.0,11110,0,0
0,1',102.4,419.3,1001,0,0
0,3x2000m,127.6,449.0,11,0,0
0,1',103.4,419.3,1001,0,0
0,1',103.1,419.3,1001,0,0
0,3x10',110.8,419.3,10000,0,0
0,3x2000m,114.2,420.5,11,0,0
0,3x10',121.8,420.8,10000,0,0
0,5x5',109.2,415.0,0,0,0
0,1',102.3,419.3,1001,0,0
0,1500m+500m,107.6,427.7,10010,0,0
0,1',106.7,432.4,1001,0,0
0,3x2000m,112.6,411.4,11,0,0
0,3x2000m,113.8,420.3,11,0,0
0,1',103.8,429.2,1001,0,0
0,3x10',114.7,419.3,10000,0,0
0,1',102.4,419.3,1001,0,0
0,1',103.4,418.6,1001,0,0
0,3x2000m,119.3,419.0,11,0,0
0,1',98.4,412.5,1001,0,0
0,1',100.9,419.3,1001,0,0
0,1',101.1,412.5,1001,0,0
0,1',103.3,416.9,1001,0,0
0,3x10',114.3,420.8,10000,0,0
0,3x7',112.8,405.5,11110,0,0
0,100m,92.0,433.8,11011,0,0
0,3x10',123.7,418.6,10000,0,0
0,2x2000m,106.3,412.5,1100,0,0
0,3x4000m,111.6,405.5,1110,0,0
0,1',104.7,419.3,1001,0,0
0,3x2000m,117.5,421.9,11,0,0
0,3x2000m,108.2,405.5,11,0,0
0,2x10',124.1,418.6,101100,0,0
0,3x2000m,123.6,428.3,11,0,0
0,3x8',117.8,427.7,11111,0,0
0,1500m+500m,102.5,420.5,10010,0,0
0,3x10',116.1,429.2,10000,0,0
0,1000m,112.2,449.0,10001,0,0
0,3x2000m,118.2,420.3,11,0,0
0,1',100.1,418.6,1001,0,0
0,3x8',121.0,428.3,11111,0,0
0,3x2000m,113.9,402.7,11,0,0
0,3x2000m,116.1,427.7,11,0,0
0,5x5',114.5,424.5,0,0,0
0,3x7',111.8,420.5,11110,0,0
0,3x8',110.7,405.5,11111,0,0
0,3x20',125.0,427.1,10,0,0
0,3x10',113.4,419.3,10000,0,0
0,3x7',115.6,405.5,11110,0,0
0,3x10',115.5,432.4,10000,0,0
0,1',106.6,412.5,1001,0,0
0,1500m+500m,102.4,420.3,10010,0,0
0,3x7',126.1,428.3,11110,0,0
0,3x20',126.0,413.7,10,0,0
0,1',102.1,420.8,1001,0,0
0,3x7',110.8,405.5,11110,0,0
0,1500m+500m,105.8,419.0,10010,0,0
0,5x5',111.2,415.6,0,0,0
0,3x2000m,111.4,421.9,11,0,0
0,3x10',117.8,431.6,10000,0,0
0,3x20',144.0,424.5,10,0,0
0,3x2000m,120.4,428.3,11,0,0
0,1500m+500m,107.2,428.3,10010,0,0
0,3x4000m,110.5,405.5,1110,0,0
0,3x8',113.9,420.5,11111,0,0
0,100m,93.0,432.3,11011,0,0
0,3x2000m,111.0,411.4,11,0,0
0,1',107.7,412.5,1001,0,0
0,3x8',119.4,428.3,11111,0,0
0,3x10',120.5,419.3,10000,0,0
0,3x4000m,118.2,428.3,1110,0,0
0,3x8',116.3,428.3,11111,0,0
0,1',101.8,418.6,1001,0,0
0,3x8',111.7,405.5,11111,0,0
0,3x2000m,108.9,411.4,11,0,0
0,2x2000m,110.8,418.6,1100,0,0
0,3x4000m,112.1,405.5,1110,0,0
0,1500m+500m,112.8,449.0,10010,0,0
0,1000m+500m,117.5,449.0,10110,0,0
0,1',101.7,419.3,1001,0,0
0,3x2000m,116.1,419.0,11,0,0
0,1',115.5,412.5,1001,0,0
0,1',108.0,418.6,1001,0,0
0,3x2000m,124.2,420.5,11,0,0
0,2000m,100.7,402.7,1010,0,0
0,3x7',118.3,420.5,11110,0,0
0,3x8',124.7,428.3,11111,0,0
0,3x8',114.7,415.6,11111,0,0
0,3x2000m,115.8,421.9,11,0,0
0,100m,93.0,424.5,11011,0,0
0,3x10',129.0,432.4,10000,0,0
0,3x10',116.6,418.6,10000,0,0
0,3x4000m,121.1,427.7,1110,0,0
0,3x2000m,105.7,405.5,11,0,0
0,3x2000m,110.3,415.6,11,0,0
0,3x2000m,108.8,420.3,11,0,0
0,3x10',111.1,419.3,10000,0,0
0,5x5',108.9,405.5,0,0,0
0,3x10',114.4,432.4,10000,0,0
0,1500m+500m,102.5,415.6,10010,0,0
0,2x2000m,107.6,412.5,1100,0,0
0,5x5',115.1,427.1,0,0,0
0,1',101.3,412.5,1001,0,0
