ervaring,geslacht,gewichtsklasse,naam,trainingtype,500_split,2k tijd,2k datum
1.0,M,Z,z47,5x5',104.6,379.9,2018-12-08
1.0,M,Z,z47,5x5',104.7,379.9,2018-12-08
1.0,M,Z,z47,5x5',104.3,379.9,2018-12-08
1.0,M,Z,z47,5x5',104.0,379.9,2018-12-08
1.0,M,Z,z47,5x5',104.1,379.9,2018-12-08
1.0,M,Z,z50,5x5',107.1,390.2,2018-12-08
1.0,M,Z,z50,5x5',105.5,390.2,2018-12-08
1.0,M,Z,z50,5x5',104.6,390.2,2018-12-08
1.0,M,Z,z50,5x5',103.8,390.2,2018-12-08
1.0,M,Z,z50,5x5',102.7,390.2,2018-12-08
1.0,M,Z,z52,5x5',105.4,382.2,2018-12-08
1.0,M,Z,z52,5x5',105.1,382.2,2018-12-08
1.0,M,Z,z52,5x5',104.9,382.2,2018-12-08
1.0,M,Z,z52,5x5',104.5,382.2,2018-12-08
1.0,M,Z,z52,5x5',104.1,382.2,2018-12-08
1.0,M,Z,z54,5x5',106.2,392.0,2018-12-08
1.0,M,Z,z54,5x5',107.8,392.0,2018-12-08
1.0,M,Z,z54,5x5',109.0,392.0,2018-12-08
1.0,M,Z,z54,5x5',109.9,392.0,2018-12-08
1.0,M,Z,z54,5x5',109.1,392.0,2018-12-08
1.0,M,Z,z52,3x15',120.0,382.2,2018-12-08
1.0,M,Z,z52,3x15',121.2,382.2,2018-12-08
1.0,M,Z,z52,3x15',121.0,382.2,2018-12-08
1.0,M,Z,z54,3x15',118.6,392.0,2018-12-08
1.0,M,Z,z54,3x15',119.9,392.0,2018-12-08
1.0,M,Z,z54,3x15',121.1,392.0,2018-12-08
1.0,M,Z,z52,3x20',118.2,382.2,2018-12-08
1.0,M,Z,z52,3x20',119.5,382.2,2018-12-08
1.0,M,Z,z52,3x20',119.7,382.2,2018-12-08
1.0,M,Z,z54,3x20',119.0,392.0,2018-12-08
1.0,M,Z,z54,3x20',121.3,392.0,2018-12-08
1.0,M,Z,z54,3x20',121.7,392.0,2018-12-08
1.0,M,Z,z47,3x20',115.5,379.9,2018-12-08
1.0,M,Z,z47,3x20',117.0,379.9,2018-12-08
1.0,M,Z,z47,3x20',117.5,379.9,2018-12-08
1.0,M,Z,z50,3x20',120.9,390.2,2018-12-08
1.0,M,Z,z50,3x20',120.9,390.2,2018-12-08
1.0,M,Z,z50,3x20',120.9,390.2,2018-12-08
1.0,M,Z,z52,3x20',117.9,382.2,2018-12-08
1.0,M,Z,z52,3x20',118.2,382.2,2018-12-08
1.0,M,Z,z52,3x20',118.6,382.2,2018-12-08
1.0,M,Z,z54,3x20',117.7,392.0,2018-12-08
1.0,M,Z,z54,3x20',117.6,392.0,2018-12-08
1.0,M,Z,z54,3x20',117.7,392.0,2018-12-08
1.0,M,Z,z4,3x2000m/5'r,100.7,381.6,2021-12-11
1.0,M,Z,z4,3x2000m/5'r,102.3,381.6,2021-12-11
1.0,M,Z,z4,3x2000m/5'r,103.6,381.6,2021-12-11
1.0,M,Z,z3,3x2000m/5'r,106.7,390.4,2021-12-11
1.0,M,Z,z3,3x2000m/5'r,107.7,390.4,2021-12-11
1.0,M,Z,z3,3x2000m/5'r,106.2,390.4,2021-12-11
1.0,M,Z,z48,3x2000m/5'r,104.0,394.1,2021-12-11
